what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1448885312476
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1448885312485
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1448885312486
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1448885312487
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1448885312488
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1448885312488
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1448885312488
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1448885312489
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1448885312489
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1448885312489
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1448885312490
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1448885312490
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1448885312491
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1448885312491
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1448885312492
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1448885312492
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1448885312493
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1448885312493
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1448885312493
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1448885312493
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1448885312508
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1448885312508
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1448885312509
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1448885312509
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1448885312518
started,bundle,com.google.gdt.eclipse.core,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.core",1448885312518
started,bundle,com.google.gdt.eclipse.designer,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer",1448885312519
started,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer.UiBinder",1448885312519
started,bundle,com.google.gdt.eclipse.login,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.login",1448885312520
started,bundle,com.google.gdt.eclipse.managedapis,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.managedapis",1448885312520
started,bundle,com.google.gdt.eclipse.suite.ext,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.suite.ext",1448885312520
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.bugzilla.core",1448885312520
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.bugzilla.ui",1448885312521
started,bundle,org.eclipse.mylyn.commons.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.core",1448885312521
started,bundle,org.eclipse.mylyn.commons.net,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.net",1448885312521
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.core",1448885312521
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.feed",1448885312521
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.ui",1448885312522
started,bundle,org.eclipse.mylyn.commons.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.ui",1448885312522
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.workbench",1448885312522
started,bundle,org.eclipse.mylyn.context.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.core",1448885312523
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.tasks.ui",1448885312523
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.monitor.ui",1448885312523
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.index.core",1448885312524
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1448885312524
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1448885312525
started,bundle,org.eclipse.wb.core,1.5.2.r37x201303061457,"org.eclipse.wb.core",1448885312530
started,bundle,org.eclipse.wb.core.java,1.5.2.r37x201303061505,"org.eclipse.wb.core.java",1448885312531
started,bundle,org.eclipse.wb.core.lib,1.5.2.r37x201303061457,"org.eclipse.wb.core.lib",1448885312531
started,bundle,org.eclipse.wb.discovery.core,1.5.2.r37x201303061516,"org.eclipse.wb.discovery.core",1448885312533
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1448885312537
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1448885312538
os,sysinfo,,,"linux",1448885312540
arch,sysinfo,,,"x86_64",1448885312540
ws,sysinfo,,,"gtk",1448885312540
locale,sysinfo,,,"fr_FR",1448885312540
processors,sysinfo,,,"4",1448885312540
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1448885312541
java.runtime.version,sysinfo,,,"1.7.0_51-mockbuild_2014_01_31_16_21-b00",1448885312541
java.specification.name,sysinfo,,,"Java Platform API Specification",1448885312541
java.specification.vendor,sysinfo,,,"Oracle Corporation",1448885312541
java.specification.version,sysinfo,,,"1.7",1448885312541
java.vendor,sysinfo,,,"Oracle Corporation",1448885312541
java.version,sysinfo,,,"1.7.0_51",1448885312541
java.vm.info,sysinfo,,,"mixed mode",1448885312541
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1448885312541
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1448885312541
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1448885312541
java.vm.specification.version,sysinfo,,,"1.7",1448885312541
java.vm.vendor,sysinfo,,,"Oracle Corporation",1448885312541
java.vm.version,sysinfo,,,"24.51-b03",1448885312541
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1448885312544
started,bundle,org.eclipse.wb.discovery.ui,1.5.2.r37x201303061516,"org.eclipse.wb.discovery.ui",1448885312828
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448885322806
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1448885323026
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1448885323070
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1448885323073
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1448885323212
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1448885323213
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1448885323213
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1448885323213
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1448885323214
stopped,bundle,com.google.gdt.eclipse.maven.e37,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.maven.e37",1448885323214
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1448885323214
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1448885323215
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1448885323215
stopped,bundle,org.eclipse.xtend.ide,2.7.2.v201409160908,"org.eclipse.xtend.ide",1448885323215
stopped,bundle,org.eclipse.xtext.common.types.shared,2.7.2.v201409160908,"org.eclipse.xtext.common.types.shared",1448885323216
